epoch,loss,val_loss
0,0.01486985595274255,0.007136645354330539
1,0.004489718066808646,0.0008364048437215388
2,0.004411188015994494,0.012237505987286568
3,0.003987703981366865,0.006742888316512108
4,0.003360374250981972,0.0008710295369382948
5,0.003482970126866647,0.0015909256413578986
6,0.0032921485878803112,0.0007798080798238516
7,0.0029209524635387357,0.0010280921240337193
8,0.00258853954607327,0.000829896645154804
9,0.002553610617459284,0.00359056880697608
10,0.002289708485883487,0.0008280339709017426
11,0.0023457108805497754,0.0008025607385206968
12,0.001908698778404251,0.0025016800966113804
13,0.0019017216278079114,0.0027516070753335954
14,0.0019031480987073796,0.0012175361975096167
15,0.002128529588078248,0.0008005025680176914
16,0.001660955207970438,0.0010044874157756566
17,0.0015984953174559815,0.0015474924119189381
18,0.0014762025472395475,0.0016781678423285484
19,0.001507760312207636,0.0013039559591561556
20,0.0015517167138488503,0.0026166192721575497
21,0.0014276308250589238,0.0008877293672412634
22,0.0014921790584459262,0.0028393253684043883
23,0.0013487554060752581,0.000933226861525327
24,0.0013097693604320478,0.0007579730008728802
25,0.0013274992913296032,0.0008748560911044478
26,0.001305002105814308,0.0011985476128757
27,0.0012484458188373453,0.0012141832150518895
28,0.001383108059576724,0.000815143552608788
29,0.0013339407168330678,0.0016334245912730694
30,0.001316103581064451,0.0007406551099848002
31,0.0011810942475905851,0.0010724352905526757
32,0.0013326388679633864,0.002420174051076174
33,0.0012564436221370924,0.0010900265187956393
34,0.0013878483723780497,0.0007458129606675356
35,0.0013982836015703037,0.0006910331838298589
36,0.0012544768668241054,0.0007944630575366318
37,0.0012438107972404019,0.002069146325811744
38,0.001229100240279282,0.0013511992525309323
39,0.0013230233774726991,0.0015282280975952745
40,0.0012384615354661527,0.0011628219624981284
41,0.001312335922056362,0.000659283553250134
42,0.0011959151168388774,0.0007213208707980811
43,0.0012087454510150903,0.0034830388613045216
44,0.0013356167695535732,0.0021579682361334562
45,0.0012651964065320295,0.0009248206799384207
46,0.0012492439599948752,0.001124254520982504
47,0.0014089009859550201,0.0006987297208979725
48,0.001415771450691954,0.0012352937599644064
49,0.0012259570254721122,0.0006540055677760392
50,0.0011885318309118717,0.001087520131841302
51,0.0011580429110106696,0.0006734054419212044
52,0.0012072508385601686,0.0010085079818964004
53,0.0013121482563789749,0.0006720511184539646
54,0.001260366418428087,0.002017637889366597
55,0.0011803451687575348,0.0006602674548048526
56,0.0012417758863323906,0.004384188028052449
57,0.001387142794575946,0.00099358216393739
58,0.0013523592946222236,0.00230520972982049
59,0.0011820832275814038,0.0007055254420265556
