[7.29246066]
[7.30695083]
[7.25144107]
[7.26593124]
[7.23042146]
[7.17491169]
[7.11940193]
[7.11389212]
[7.07838233]
[7.03287256]
[7.00736277]
[7.00185295]
[7.08634329]
[7.10083346]
[7.12532362]
[7.1298138]
[7.08430403]
[7.05879423]
[6.98328449]
[6.83777481]
[6.67226491]
[6.69675531]
[6.68124551]
[6.75573562]
[6.6602259]
[6.244716]
[6.12920629]
[6.06369654]
[6.00818677]
[5.97267699]
[6.02716712]
[5.90165742]
[5.77614761]
[5.66063778]
[5.63512799]
[5.5996182]
[5.55410843]
[5.48859867]
[5.36308886]
[5.27757912]
[5.39206932]
[5.54655959]
[5.48104972]
[5.44553993]
[5.68003025]
[5.57452053]
[5.56901072]
[5.48350075]
[5.42799098]
[5.23248123]
[5.16697148]
[5.13146169]
[4.9859519]
[5.00044219]
[4.92493232]
[4.88942254]
[4.85391275]
[4.71840307]
[4.76289321]
[4.69738345]
[4.57187364]
[4.59636391]
[4.62085407]
[4.65534434]
[4.57983448]
[4.44432479]
[4.46881495]
[4.45330515]
[4.44779546]
[4.47228562]
[4.40677586]
[4.36126609]
[4.49575626]
[4.27024654]
[4.27473672]
[4.26922691]
[4.23371712]
[4.17820736]
[4.08269751]
[3.96718781]
[3.90167805]
[3.88616825]
[3.84065848]
[3.75514862]
[3.72963883]
[3.74412912]
[3.72861931]
[3.78310956]
[3.71759969]
[3.71209]
[3.70658019]
[3.74107034]
[3.73556064]
[3.61005083]
[3.624541]
[3.6190313]
[3.6035215]
[3.53801175]
[3.5725019]
[3.5469921]
[3.59148224]
[3.59597266]
[3.63046281]
[3.53495309]
[3.4994433]
[3.49393349]
[3.40842375]
[3.36291374]
[3.39740413]
[3.45189426]
[3.33638455]
[3.30087477]
[3.21536504]
[3.13985505]
[3.01434535]
[3.02883552]
[2.92332581]
[2.87781603]
[2.84230625]
[2.79679648]
[2.90128656]
[2.885777]
[2.93026714]
[2.89475735]
[2.97924746]
[2.98373787]
[2.8982279]
[2.89271809]
[2.83720832]
[2.73169861]
[2.65618886]
[2.67067903]
[2.71516917]
[2.7096596]
[2.63414961]
[2.69863997]
[2.57313004]
[2.51762027]
[2.50211047]
[2.64660075]
[2.63109095]
[2.48558127]
[2.53007141]
[2.73456164]
[2.7590518]
[2.81354217]
[2.85803231]
[2.82252253]
[2.76701276]
[2.62150285]
[2.48599316]
[2.43048339]
[2.1549736]
[1.8894638]
[1.71395415]
[1.87844417]
[1.89293458]
[1.71742469]
[1.64191495]
[1.4264051]
[1.31089539]
[1.12538551]
[1.37987569]
[1.27436598]
[1.3388561]
[1.25334636]
[1.27783676]
[1.19232679]
[1.27681713]
[1.1813074]
[0.99579752]
[1.04028766]
[1.02477786]
[0.87926818]
[0.79375833]
[0.72824857]
[0.63273885]
[0.61722904]
[0.55171929]
[0.51620951]
[0.55069966]
[0.52518986]
[0.48968008]
[0.55417032]
[0.47866058]
[0.49315074]
[0.46764095]
[0.47213113]
[0.50662152]
[0.5111117]
[0.61560178]
[0.7200921]
[0.59458217]
[0.65907253]
[0.45356267]
[0.37805292]
[0.34254314]
[0.56703335]
[0.73152361]
[0.46601381]
[0.57050413]
[0.70499418]
[0.79948451]
[0.63397462]
[0.58846484]
[0.44295516]
[0.51744528]
[0.4719355]
[0.51642564]
[0.48091586]
[0.43540609]
[0.37989632]
[0.34438654]
[0.23887682]
[0.243367]
[0.04785737]
[0.11234749]
[0.09683769]
[0.11132786]
[0.06581809]
[-0.04969162]
[-0.10520139]
[-0.08071123]
[-0.25622111]
[-0.21173074]
[-0.32724068]
[1.00724966]
[0.43173991]
[0.60623017]
[0.64072032]
[0.48521041]
[0.38970069]
[0.54419096]
[0.36868107]
[0.33317129]
[0.35766169]
[0.34215188]
[0.27664213]
[0.23113236]
[0.20562256]
[0.1101126]
[0.15460298]
[0.23909308]
[0.2035833]
[0.21807347]
[0.11256375]
[0.17705387]
[0.31154416]
[0.43603423]
[0.38052446]
[0.51501476]
[0.72950497]
[0.66399546]
[0.48848533]
[0.26297549]
[0.14746578]
[0.42195594]
[0.4264466]
[0.34093662]
[0.36542678]
[0.12991719]
[0.17440733]
[0.12889732]
[0.12338775]
[0.41787789]
[0.89236833]
[0.69685822]
[1.01134835]
[0.54583873]
