Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,195.61000061035156,195.77999877929688,192.97000122070312,193.08999633789062,172.19430541992188,183479000
2014-08-01,192.55999755859375,193.75999450683594,191.57000732421875,192.5,171.66815185546875,189261000
2014-08-04,192.8699951171875,194.3000030517578,192.0500030517578,193.88999938964844,172.90769958496094,91340000
2014-08-05,193.10000610351562,193.60000610351562,191.30999755859375,192.00999450683594,171.2311553955078,152690000
2014-08-06,191.11000061035156,192.88999938964844,191.0800018310547,192.07000732421875,171.28468322753906,94818000
2014-08-07,192.94000244140625,193.1300048828125,190.5500030517578,191.02999877929688,170.35720825195312,135733000
2014-08-08,191.4600067138672,193.3699951171875,190.9499969482422,193.24000549316406,172.3280487060547,117014000
2014-08-11,193.97000122070312,194.66000366210938,193.7100067138672,193.8000030517578,172.8274383544922,74544000
2014-08-12,193.61000061035156,194.14999389648438,192.94000244140625,193.52999877929688,172.58665466308594,73632000
2014-08-13,194.2899932861328,195.05999755859375,193.9600067138672,194.83999633789062,173.7549285888672,69047000
2014-08-14,195.16000366210938,195.75999450683594,194.97999572753906,195.75999450683594,174.57534790039062,57371000
2014-08-15,196.47000122070312,196.64999389648438,194.30999755859375,195.72000122070312,174.53970336914062,139951000
2014-08-18,196.8000030517578,197.4499969482422,196.69000244140625,197.36000061035156,176.0022430419922,75424000
2014-08-19,197.83999633789062,198.5399932861328,197.44000244140625,198.38999938964844,176.92071533203125,59135000
2014-08-20,198.1199951171875,199.16000366210938,198.0800018310547,198.9199981689453,177.39337158203125,72763000
2014-08-21,199.08999633789062,199.75999450683594,198.92999267578125,199.5,177.91062927246094,67791000
2014-08-22,199.33999633789062,199.69000244140625,198.74000549316406,199.19000244140625,177.63417053222656,76107000
2014-08-25,200.13999938964844,200.58999633789062,199.14999389648438,200.1999969482422,178.53482055664062,63855000
2014-08-26,200.3300018310547,200.82000732421875,200.27999877929688,200.3300018310547,178.6507568359375,47298000
2014-08-27,200.42999267578125,200.57000732421875,199.94000244140625,200.25,178.5794219970703,47874000
2014-08-28,199.58999633789062,200.27000427246094,199.38999938964844,200.13999938964844,178.4813690185547,58330000
2014-08-29,200.4499969482422,200.72999572753906,199.82000732421875,200.7100067138672,178.98963928222656,65907000
2014-09-02,200.97000122070312,201.0,199.86000061035156,200.61000061035156,178.90048217773438,72426000
2014-09-03,201.3800048828125,201.41000366210938,200.22000122070312,200.5,178.8024139404297,57462000
2014-09-04,200.83999633789062,201.5800018310547,199.66000366210938,200.2100067138672,178.5438232421875,85236000
2014-09-05,200.1699981689453,201.19000244140625,199.41000366210938,201.11000061035156,179.3463592529297,102177000
2014-09-08,200.9199981689453,201.2100067138672,200.0,200.58999633789062,178.88265991210938,64146000
2014-09-09,200.41000366210938,200.5500030517578,198.91000366210938,199.32000732421875,177.75013732910156,88591000
2014-09-10,199.42999267578125,200.1999969482422,198.77000427246094,200.07000732421875,178.41893005371094,67251000
2014-09-11,199.27000427246094,200.3300018310547,199.1199951171875,200.3000030517578,178.62403869628906,66774400
2014-09-12,200.10000610351562,200.1199951171875,198.55999755859375,199.1300048828125,177.58065795898438,117409300
2014-09-15,199.16000366210938,199.32000732421875,198.3800048828125,198.97999572753906,177.44691467285156,76401000
2014-09-16,198.61000061035156,200.83999633789062,198.5,200.47999572753906,178.78453063964844,116201000
2014-09-17,200.77000427246094,201.67999267578125,199.75,200.75,179.0253448486328,151266000
